Rk,Player,Age,Team,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
234,Ronny Simón#,25,PIT,-0.5,8,32,30,4,7,1,0,0,2,1,0,1,8,0.233,0.25,0.267,0.517,43,0.231,32,8,0,0,0,1,0,/97DH,,simonro01
235,Griffin Conine*,27,MIA,0.1,24,86,79,13,20,7,0,2,8,0,1,7,25,0.253,0.314,0.418,0.732,102,0.325,107,33,0,0,0,0,0,7/9DH,,coningr01
236,Bryce Johnson#,29,SDP,0.6,55,84,76,9,26,4,0,1,8,4,1,3,19,0.342,0.383,0.434,0.817,127,0.375,135,33,1,2,3,0,0,78H9,,johnsbr03
237,Jesse Winker*,31,NYM,0,26,81,70,8,16,5,2,1,10,1,0,9,21,0.229,0.309,0.4,0.709,99,0.305,92,28,1,0,0,2,1,D/H7,,winkeje01
238,Connor Joe,32,2TM,-0.7,42,80,70,2,13,4,0,0,4,2,2,7,20,0.186,0.263,0.243,0.505,40,0.226,32,17,2,1,0,2,0,9H7/3D8,,joeco01
238,Connor Joe,32,SDP,-0.2,7,10,9,0,0,0,0,0,0,0,0,1,6,0,0.1,0,0.1,-69,0.07,-78,0,0,0,0,0,0,/H378D,,joeco01
238,Connor Joe,32,CIN,-0.5,35,70,61,2,13,4,0,0,4,2,2,6,14,0.213,0.286,0.279,0.564,56,0.249,48,17,2,1,0,2,0,97H/3D8,,joeco01
239,Danny Jansen,30,MIL,0.7,25,78,67,10,17,3,0,3,7,0,0,9,18,0.254,0.346,0.433,0.779,116,0.352,123,29,1,1,0,1,0,2/HD,,janseda01
240,Garrett Mitchell*,26,MIL,0,25,78,68,9,14,4,1,0,3,3,0,7,25,0.206,0.286,0.294,0.58,63,0.269,58,20,0,1,1,1,0,8/H,,mitchga01
241,Hayden Senger,28,NYM,-0.2,33,78,72,8,13,1,0,0,4,0,0,3,22,0.181,0.221,0.194,0.415,19,0.19,11,14,3,1,1,1,0,2/H,,sengeha01
242,Jorge Barrosa#,24,ARI,-0.7,33,77,71,8,10,3,0,1,7,0,0,2,22,0.141,0.169,0.225,0.394,8,0.17,-7,16,1,1,0,3,0,87/H9D,,barrojo01
243,Eric Haase,32,MIL,0.2,30,77,70,11,16,3,0,2,9,0,0,4,31,0.229,0.289,0.357,0.647,79,0.285,76,25,1,2,1,0,0,2/DH,,haaseer01
244,Blake Dunn,26,CIN,-0.1,30,75,60,10,9,2,0,1,7,1,1,8,25,0.15,0.32,0.233,0.553,56,0.27,60,14,1,7,0,0,0,97/8HD,,dunnbl01
245,Jordan Lawlar,22,ARI,-0.4,28,74,66,9,12,7,0,0,5,2,0,6,26,0.182,0.257,0.288,0.545,51,0.251,45,19,0,1,0,1,0,5H/D46,,lawlajo01
246,Sean Bouchard,29,COL,-0.9,32,73,66,7,11,0,1,1,7,1,1,7,27,0.167,0.247,0.242,0.489,32,0.235,32,16,2,0,0,0,0,9H/D73,,bouchse01
